koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_time0bk_err1,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err2,koi_teq,koi_insol,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_slogg,koi_slogg_err2,koi_srad_err1,ra,dec,koi_kepmag
0,0,0,0,20.09017037,147.97788,0.00275,0.886,0.014,-0.638,4.154,0.154,-0.154,1432.1,41.4,-41.4,2.25,-0.21,362,4.05,-0.98,36.9,3,3906,78,4.73,-0.024,0.032,282.23251,43.66563,15.777
0,1,0,0,1.341078755,131.8392432,5.20E-05,0.309,0.005,-0.008,3.86492,0.00475,-0.00475,112150,77.4,-77.4,41.8,-5.83,1968,3533.56,-1243.05,1829.3,1,6368,160,4.323,-0.195,0.4,291.70963,38.92136,13.682
0,0,0,0,51.3011844,153.52571,0.00975,0.003,0.463,-0.003,5.359,0.259,-0.259,498.9,30.1,-30.1,2.07,-0.17,492,13.86,-3.56,19.6,1,6032,162,4.508,-0.208,0.291,284.61621,49.190811,14.739
0,0,0,0,66.4159789,188.13988,0.00476,0.371,0.039,-0.371,7.061,0.133,-0.133,2053.2,67.3,-67.3,3.44,-0.28,376,4.71,-1.25,33.6,1,5383,204,4.603,-0.12,0.143,291.95099,38.251701,15.983
0,0,0,1,1.09206792,132.1066,0.0112,0.378,0.09,-0.378,1.646,0.309,-0.309,105.9,18.1,-18.1,0.74,-0.05,1320,715.46,-163.68,7.7,2,4856,144,4.609,-0.054,0.068,295.54388,44.12537,15.924
0,0,0,0,12.10968709,140.21258,0.00386,0.924,0.004,-0.661,6.3461,0.0954,-0.0954,284.7,8.9,-8.9,2.98,-0.69,1005,240.8,-109.94,33.4,1,6021,120,4.093,-0.105,0.226,293.08463,41.135441,14.348
0,0,0,0,130.3543929,144.06022,0.00122,0.675,0.075,-0.251,6.474,0.143,-0.143,5128.7,59.7,-59.7,7.7,-0.84,369,4.36,-1.34,103.7,1,5970,163,4.463,-0.224,0.334,285.37195,41.993912,15.254
0,0,0,0,21.3851584,178.78285,0.00132,0.518,0.063,-0.393,4.0819,0.0447,-0.0447,663.9,11.4,-11.4,2.17,-0.15,574,25.63,-5.12,67.3,1,5376,106,4.516,-0.06,0.069,287.33279,46.20351,13.94
0,0,1,1,11.2580745,140.794,0.011,0.955,0.004,-0.005,23.516,0.588,-0.588,713.3,16.2,-16.2,2.14,-0.16,497,14.44,-3.67,55.4,1,4257,115,4.691,-0.052,0.062,286.40198,39.338799,15.83
0,1,0,0,58.62157882,178.5674958,9.96E-05,0.896,0.038,-0.036,8.52961,0.00582,-0.00582,142950,89.6,-89.6,40.43,-4.52,385,5.19,-1.57,1887.7,1,5232,157,4.554,-0.067,0.089,295.61038,43.260422,15.161
0,1,0,1,0.734548624,132.16826,0.00906,0.747,0.013,-0.548,2.207,0.166,-0.166,58.6,3,-3,0.84,-0.09,2082,4454.22,-1315.92,25.1,1,6046,169,4.478,-0.216,0.318,280.90179,47.526241,13.594
0,0,0,0,30.4544418,140.76863,0.00881,0.929,0.022,-0.665,6.896,0.192,-0.192,472.1,29.9,-29.9,2.6,-0.29,624,35.92,-11.41,17.3,1,6283,176,4.472,-0.216,0.312,292.68427,38.126282,15.268
1,0,1,0,0.73094589,133.68876,0.00294,1.169,0.111,-0.178,4.32,0.2,-0.2,250.2,8.3,-8.3,17.12,-1.6,1922,3248.17,-909.69,37.5,1,5901,158,4.553,-0.204,0.251,289.7962,38.351181,15.401
0,1,0,0,1.28132831,169.665953,0.000148,0.926,0.006,-0.61,0.9157,0.025,-0.025,525.5,3.7,-3.7,4.52,-1.43,2215,5673.71,-3257.31,196.4,1,5918,163,3.978,-0.138,0.337,295.10114,40.986679,12.107
0,0,1,0,5.73865933,136.91835,0.003,0.966,7.768,-0.011,4.051,0.128,-0.128,688.6,20.1,-20.1,1.84,-0.09,535,19.33,-3.08,40.1,1,3841,61,4.756,-0.033,0.031,292.8053,49.040459,15.51
0,1,0,0,0.805259257,132.100916,0.000122,1.245,0.23,-0.169,1.42246,0.00696,-0.00696,1384.3,5.2,-5.2,63.55,-16.21,2723,12990.09,-6159.32,329.7,1,5872,78,3.926,-0.067,0.258,290.12653,41.601082,13.742
0,1,0,0,15.28870918,132.8060911,6.32E-05,0.372,0.007,-0.004,5.00366,0.00325,-0.00325,512470,240,-240,54.56,-4.78,509,15.84,-4.29,1758.7,1,4464,132,4.577,-0.017,0.029,297.284,39.70768,15.993
0,0,0,0,4.33722007,132.85152,0.00147,0.053,0.378,-0.053,2.4973,0.0427,-0.0427,358.5,8,-8,1.63,-0.11,996,231.86,-45.27,47.9,1,5390,107,4.499,-0.078,0.084,281.34882,44.295238,13.53
0,0,0,0,3.578780566,134.0304187,4.21E-05,0.079,0.045,-0.054,2.91089,0.00147,-0.00147,11382,7.2,-7.2,10.43,-0.62,1145,406.6,-74.65,1838.4,1,5524,110,4.421,-0.045,0.059,289.60797,44.345421,13.938
0,0,0,0,179.609803,295.330361,0.000447,0.711,0.011,-0.4,13.755,0.119,-0.119,1273,7.7,-7.7,5.47,-0.28,389,5.41,-0.78,184.6,2,5880,78,4.154,-0.027,0.09,288.98456,40.064529,12.287
0,1,0,0,16.6218534,133.5526451,4.65E-05,0.58,0.013,-0.004,3.91517,0.00391,-0.00391,55297,38.6,-38.6,22.32,-3.2,719,63.3,-22.64,1872.6,1,5949,177,4.451,-0.174,0.242,297.00006,41.290031,15.229
0,0,1,1,1.332545609,132.05755,0.00513,0.582,0.046,-0.582,3.997,0.618,-0.618,278.2,15.6,-15.6,28.37,-9.38,5080,157611.61,-102386.32,31.4,1,5154,153,2.435,-0.03,0.962,295.2258,46.76009,13.504
0,1,0,0,3.041547148,170.4878722,4.58E-05,1.233,0.042,-0.042,3.22798,0.00244,-0.00244,20691,14.9,-14.9,60.05,-7.05,1544,1344.31,-385.93,1670.6,1,6431,102,4.293,-0.114,0.219,297.44904,40.510899,13.705
0,0,0,0,1.682934607,131.96807,0.00238,0.681,0.28,-0.479,1.8846,0.0783,-0.0783,142.7,6.8,-6.8,1.06,-0.04,1270,615.67,-86.81,24.5,2,5201,93,4.573,-0.09,0.077,288.3725,47.933559,13.733
0,0,0,1,2.24294107,133.47862,0.00964,0.23,0.235,-0.23,2.532,0.299,-0.299,39.4,4,-4,0.75,-0.22,1654,1763.55,-977.28,12.1,1,6082,182,4.195,-0.204,0.349,296.45139,39.59166,13.182
0,0,1,0,5.76573396,133.30941,0.00339,0.708,0.225,-0.497,2.924,0.122,-0.122,248,13.2,-13.2,7.47,-2.5,1964,3518.78,-2053.98,22.2,1,5772,78,3.364,-0.08,0.531,294.52557,38.204632,14.313
0,0,0,0,4.469754641,131.84402,0.00152,0.494,0.413,-0.295,1.813,0.0503,-0.0503,553.9,17.7,-17.7,2.26,-0.23,1103,350.69,-101.97,37.1,1,5988,161,4.507,-0.2,0.28,289.2489,47.650101,14.769
0,1,1,0,9.892240848,136.693856,0.000329,1.28,0.141,-0.093,4.1774,0.0163,-0.0163,5283.2,20.1,-20.1,40.38,-4.28,907,160.25,-48.31,314,1,6225,169,4.461,-0.208,0.32,295.69324,39.006538,13.664
0,0,0,0,2.97136658,134.38662,0.00262,0.349,0.102,-0.349,2.716,0.0852,-0.0852,233.3,10,-10,1.52,-0.2,1200,490.13,-144.22,25.6,3,5334,79,4.372,-0.077,0.111,299.12753,47.59383,14.678
1,1,1,0,387.56519,269.7929,0.0243,0.916,0.045,-0.62,13.28,1,-1,1083,115,-115,4.02,-0.42,271,1.28,-0.39,11.8,2,6289,175,4.454,-0.195,0.299,292.55002,39.023811,15.598
0,0,0,0,8.13121389,137.99254,0.00188,0.622,0.059,-0.457,4.2386,0.0554,-0.0554,111.8,2.2,-2.2,1.58,-0.1,1117,368.36,-60.42,55.3,3,6181,68,4.22,-0.027,0.056,288.68869,41.15118,11.018
1,0,0,0,118.314913,215.6117,0.0177,0.522,0.465,-0.32,4.79,1.4,-1.4,216.3,46,-46,7.23,-3.16,786,90.09,-65.44,7,2,6190,223,3.34,-0.069,0.694,299.8363,40.88673,13.172
0,0,0,0,5.996533443,172.50558,0.00117,0.51,0.035,-0.439,3.3129,0.0453,-0.0453,711.4,10.7,-10.7,2.96,-0.35,1025,260.49,-69.49,70.5,1,5622,76,4.346,-0.103,0.16,281.27972,44.315529,14.674
0,0,0,0,15.0549356,144.575,0.00718,0.321,0.13,-0.321,4.801,0.195,-0.195,256.4,16.6,-16.6,1.6,-0.19,729,66.72,-18.25,16.6,2,5616,101,4.394,-0.105,0.142,283.20697,48.580502,15.017
0,1,0,0,165.40575,141.5762383,5.46E-05,1.091,0.022,-0.022,13.6363,0.00322,-0.00322,66402,15.5,-15.5,112.86,-66.63,514,16.56,-14.1,4958.6,1,6061,200,3.759,-0.176,0.695,289.69705,39.371639,12.724
0,0,0,0,5.924993927,169.71629,0.00101,0.848,0.064,-0.583,2.8874,0.0794,-0.0794,1608.1,25.3,-25.3,3.15,-0.14,758,77.91,-12.03,68.5,1,5016,100,4.641,-0.053,0.046,290.9343,47.357601,15.644
0,0,0,0,4.40841331,172.18582,0.00262,0.899,0.013,-0.655,5.012,0.106,-0.106,549.4,13.4,-13.4,2.66,-0.33,1139,398,-131.06,45.1,1,6007,189,4.457,-0.202,0.285,292.96555,43.34639,15.662
0,0,0,0,66.5576728,181.3241,0.0106,0.254,0.196,-0.253,10.532,0.271,-0.271,214.2,10.5,-10.5,4.96,-1.69,757,77.68,-45.54,21.3,1,5734,95,3.591,-0.097,0.625,293.57394,45.384541,14.074
1,0,0,0,38.35312,167.6337,0.0674,0.017,0.402,-0.017,2.9,2.8,-2.8,3090,331,-331,5.57,-0.62,557,22.73,-7.38,8.6,1,5979,190,4.449,-0.21,0.311,294.21954,50.260738,15.457
0,0,0,0,7.15681552,174.13511,0.00133,0.45,0.411,-0.255,2.5882,0.0463,-0.0463,867,19.8,-19.8,2.47,-0.2,782,88.23,-17.72,47.7,1,5029,83,4.494,-0.027,0.033,289.59476,44.141949,15.46
0,0,1,1,1.752450163,132.8015023,0.00327,0.728,0.185,-0.193,3.0255,0.115,-0.115,55.5,18.6,-18.6,0.79,-0.14,1552,1372.36,-550.1,3.4,1,5779,158,4.364,-0.198,0.27,299.16617,41.861912,13.294
0,1,1,1,30.9604688,156.1377,0.0132,1.208,39.19,-1.303,14.992,0.736,-0.736,460.9,20.5,-20.5,89.18,-70.78,1064,303.13,-293.06,27.1,1,5367,92,3.216,-0.368,2.054,295.07965,39.962528,13.405
0,0,0,0,5.248667607,135.516708,0.000962,0.847,0.005,-0.587,1.917,0.0297,-0.0297,601.2,11.9,-11.9,2.84,-0.2,1056,293.42,-53.09,59.5,1,5807,78,4.437,-0.119,0.154,292.53082,49.06171,13.345
0,0,0,0,15.0447098,133.20895,0.00584,0.022,0.407,-0.022,5.823,0.186,-0.186,97.9,4.9,-4.9,1.51,-0.38,931,177.24,-82.46,23.4,1,5798,116,4.025,-0.112,0.252,293.72586,47.24704,13.037
1,0,0,0,35.7353616,151.1133,0.00277,0.878,0.051,-0.613,8.491,0.214,-0.214,778.8,14.1,-14.1,5.47,-1.22,774,84.66,-37.28,58.4,2,6366,116,4.045,-0.098,0.285,287.3912,42.194832,13.659
0,0,0,0,16.38489988,172.72782,0.00248,0.001,0.437,-0.001,3.0249,0.0798,-0.0798,1127.1,42,-42,2,-0.1,433,8.35,-1.35,28.9,2,4126,82,4.661,-0.022,0.027,286.73804,49.97575,15.095
0,0,0,0,2.607545159,131.83453,0.00208,0.206,0.231,-0.206,1.3916,0.0666,-0.0666,351.5,18.2,-18.2,2.07,-0.23,1431,993.79,-318.55,23,1,6147,172,4.435,-0.208,0.333,287.79385,45.98024,15.618
0,0,0,0,17.6700291,131.60103,0.00594,0.932,0.025,-0.659,6.693,0.188,-0.188,348.4,15,-15,2.89,-0.48,778,86.37,-29.68,25,1,5795,78,4.265,-0.112,0.209,295.48123,40.731979,14.874
0,0,1,1,0.75499096,131.8315,0.0109,0.322,0.158,-0.322,2.485,0.292,-0.292,215.8,27.1,-27.1,1.39,-0.17,1949,3403.34,-1079.58,9.9,1,5743,156,4.466,-0.195,0.268,284.34848,40.690659,15.708
1,0,1,1,12.4255705,141.5298,0.048,0.984,0.031,-0.722,28.88,1.4,-1.4,139.4,7.4,-7.4,1.37,-0.11,721,63.95,-15.41,21.1,1,5742,155,4.564,-0.16,0.199,297.74551,40.67429,14.961
0,0,0,0,8.600099313,172.529281,0.00042,0.048,0.235,-0.048,4.0077,0.0199,-0.0199,2791.6,15.5,-15.5,4.17,-0.49,760,78.72,-23.7,209.2,1,5246,158,4.501,-0.085,0.103,297.70023,47.86375,14.486
0,0,0,0,77.6114427,164.7292,0.00168,0.094,0.323,-0.094,7.1786,0.0563,-0.0563,814.5,8.4,-8.4,2.59,-0.23,397,5.87,-1.38,100.5,3,5465,109,4.449,-0.085,0.101,287.698,42.338718,12.498
0,1,1,1,0.466743525,133.971123,0.000371,1.186,0.774,-0.082,1.3956,0.0216,-0.0216,796.1,8.3,-8.3,20.43,-1.98,2197,5480.92,-1519.17,103.6,1,5791,155,4.549,-0.204,0.249,296.33319,40.896259,15.33
